nroPaginaAtual;nroTotalPaginas;nroTotalRegistros;qtdRegistrosPorPagina;qtdRegistrosPaginaAtual;dataHoraInicio;dataHoraFim;id;idEvento;periodoReferencia;codigoIF;contrato;valorParcelaDesconto;cpf;codigo;descricao;numeroInscricaoEmpregador;matricula;dataHoraInclusaoDataprev;valorParcela;existeTrabalhadorEscriturado;existeNumeroContratoEscriturado;vinculoCorreto;instituicaoFinanceiraCorreta;valorParcelaCorreta;dadosCorrespondentes;codigo;descricao Evento de remuneracao
1;2;160;80;80;22022026000000;22022026195100;1049;149;202312;393;4089;3997064.22;97580456281;1;CNPJ;3495672000103;11153706056;22022026195013;3997064.22;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1029;129;202312;393;3787;4166860.05;65438822808;1;CNPJ;3495672000103;11153706036;22022026195013;4166860.05;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1021;121;202312;393;3697;4365.64;81344464505;1;CNPJ;3495672000103;11153706028;22022026195013;464365.64;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1024;124;202312;393;3743;45911.3;64141306053;1;CNPJ;3495672000103;11153706031;22022026195013;1445911.3;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1061;161;202312;393;4256;4793855.4;3333968800;1;CNPJ;3495672000103;11153706068;22022026195013;4793855.4;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1032;132;202312;393;3803;513607.84;1796123366;1;CNPJ;3495672000103;11153706039;22022026195013;513607.84;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1031;131;202312;393;3797;5201592.95;96380762914;1;CNPJ;3495672000103;11153706038;22022026195013;5201592.95;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1034;134;202312;393;3810;540753.04;83571636880;1;CNPJ;3495672000103;11153706041;22022026195013;540753.04;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1047;147;202312;393;4005;592255.43;81962841367;1;CNPJ;3495672000103;11153706054;22022026195013;592255.43;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1013;113;202312;393;3590;6092489.69;62924214815;1;CNPJ;3495672000103;11153706020;22022026195013;6092489.69;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1058;158;202312;393;4214;6339494.64;57036951044;1;CNPJ;3495672000103;11153706065;22022026195013;6339494.64;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1036;136;202312;393;3842;6608492.17;29842067203;1;CNPJ;3495672000103;11153706043;22022026195013;6608492.17;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
1;2;160;80;80;22022026000000;22022026195100;1046;146;202312;393;3997;670729.48;99453797634;1;CNPJ;3495672000103;11153706053;22022026195013;670729.48;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;0;Evento de remunera?o peri?ic
